No;cleaning;label;dimensi_MBI;catatan
87;sejujurnya aku capek hari ini capek kerja;burnout;EE;-
88;tapi aku gaji dikit tambah jauh dari keluarga yang harusnya cmn cukup buat sendiri malah harus lunasin hutang ortu juga selalu tidak bersisa;burnout;RPA;-
89;capek kerja bisa ga gue menikahi mile phakphum aja;burnout;EE;-
90;kerja kantoran capek kerja lapangan ditarget;burnout;EE;-
91;dulu aku pengen nikah umur sekarang umur malah kepikiran nikah tuh harus banget yah;tidak_burnout;tidak_burnout;-
92;capek kerja rasanya kayak tenaga yg bisa digunakan utk sebulan udah dihabiskan utk seminggu kemarin;burnout;EE;-
93;mo cpt cpt libur capek kerja;burnout;EE;-
94;mau nangis capek kerja sendiri mendem apa apa sendiri but thanks gw yakin gw bisa;burnout;EE;-
95;tergantung sih weekdays pasti ketemu org kantor walaupun capek kerja seengga nya sempet berinteraksi sm org lain weekend pasti main jg tp kadang ga main ky hari minggu kmrn krn ujan seharian jd gaada interaksi sm sppun jd lemes seharian;tidak_burnout;tidak_burnout;-
96;barusan ada yang bilang ke aku makanya mbojo yan biar ga capek kerja makasih nggak mending aku capek kerja deh dari pada nantinya malah capek mental aku turut bahagia buat yang mendapatkan kebahagian dari pernikahan tapi pernikahan belum jadi top priority aku sekarang;tidak_burnout;tidak_burnout;-
97;karena gue capek kerja skian;burnout;EE;-
98;km marah sblm hari ini apa ssudah hari lek km dbikin feeling lonely grgr km capek kerja trus marah marah mbasane chat mu di r tok coba ngobrolnya jgn pake marah nder;tidak_burnout;tidak_burnout;-
99;melihara burung inih jdi ga capek kerja;tidak_burnout;tidak_burnout;sarkasme-CY
100;rek capek kerja tp harus tetep hepi kiyowo;burnout;EE;-
101;orang jkt keburu capek duluan di jalan pulang udah capek kerja makin capek pas perjalanan pulangnya karena macetnya aduhh makan udah paling bener buat isi tenaga lagi kan bisa sambil nongkrong tuh sama temen;burnout;EE;-
102;kan bnyk pengangguran di indonsesia suruh aja jagain ntar lu setor ke rt utk bayaran yg jaga ronda beres jgn ngeluh terus siapa tau lu salah satu pengangguran yg sok sibuk ngaku capek kerja doang;tidak_burnout;tidak_burnout;-
103;wkwkwkk iya kebayang nanti suami capek kerja dari pagi sampai sore yg istri leha dirumah pas suami pulang minta makan malah di ceramahi kesetaraan gender masak itu ngak kewajiban cewek yg ada suami ngamuk tu wkwkwkkwkwkwk;tidak_burnout;tidak_burnout;-
104;guys yg ngidol dia ibuibu mayoritas jadi kalo kalian mikir dia ga lucu ya udah jan atuh sampe jahat gtu komennya lagian dia jga live gara gara gabut capek kerja di ln trus jadi banyak yg nonton;tidak_burnout;tidak_burnout;-
105;maksudnya perlakuan skijigi ke skz tuh udh ok banget bayangin lu hidup jd bias lu yg udh capek kerja trs fans lu nuntut trs kerja dengan mau lu buat ini itu ina inu apa gak gantung diri;tidak_burnout;tidak_burnout;-
106;kenapa orang yang menganggu selalu terlihat mendapat hal yang menyenangkan kenapa orang selalu mencoba mencari suasana tenang selalu di ganggu selalu dikucilkan semakin kesini suasana rumah semakin kesana capek kerja udah capek dirumah juga di buat capek;burnout;EE;-
107;devisa negara terbesar seindo katanya tapi gaji dikit makannyaaaaaaaa kita perlu demo ke pemerintah jgn diem aja woy karena ada yang salah sampe kapan hidup dibali gaji umk paspasan kek giniii jangan mikirin isi perut sendiri doang;burnout;CY;-
108;sebenernya hari kemarin dan hari ini bukan capek sama apa apa tapi capek kerja cape fisik batin cape sama kuliah dan banyak hal capek lainnya blm lagi pas pulang keluarga cuma bisa ngoceh doang kaya bjir anjay mabar;burnout;EE;-
109;ah tapi kalau akhirnya gak ada live streaming minggu ini hanya bisa pasrah dan sabar aja mau marah percuma juga hak mereka mau nayangin streaming atau gak capek juga minta udah capek kerja masa capek juga di sosmed;tidak_burnout;EE;-
110;gapapa self reward biar makin semangat kerja dari pada kamu kerja keras gabisa menikmati hasilnya trus jenuh dan capek kerja kalo kepikiran resign dan resign beneran yang bayarin hutang ortumu siapa mereka ga berhak banyak ngatur kalo udah dibantu;tidak_burnout;tidak_burnout;-
111;pengen gtu kalo lagi capek kerja ada cerita banyak hal mulai dari dapet atasan kek kontol nyuruh kerja ampe tengah malem dll sbg huftt sumpah gak ada yg mw jadi pacar gw kah anjing selamanya bakal single ya gw;burnout;EE;-
112;standar orang kan bedabeda kalau lu ngerasa gaji dikit dan punya pekerjaan udh bisa dibilang siao menikah ya silahkan aja kenapa kebanyakan orang nunda pernikahan tuh karena banyak faktor termasuk tinggal di negara ini apalgi banyak masalah kan akhirakhir ini;tidak_burnout;tidak_burnout;-
113;yang mau healing di jambi tapi takut dompet ikutan sakit sini deh reddoorz kasih promo buat weekend staycation harga dijamin paling murah mood langsung naik capek kerja obatin dulu di kasur empuk reddoorz yuk pake kode rdaffdellzy;tidak_burnout;tidak_burnout;-
114;karena terlalu banyak ternak mulyono termul kayak kalian yg hidup dinegara ini mau membela kebodohan dan kebohongan demi bisa hidup tanpa capek kerja dan mikir otak dibungkus kotoran sudah jelas fakta ijasah mulyono palsu masih membelanya bilang kalau kami dendam tolol;tidak_burnout;tidak_burnout;-
115;coba minta maaf dulu dengan tulus bilang kamu sadar sering ketiduran dan itu bikin dia kesal jelasin alasannya misal capek kerja tapi jangan jadi alasan lalu buktikan perubahan ajak quality time tanpa gangguan bantu urusan rumah atau kasih kejutan kecil seperti masak;tidak_burnout;tidak_burnout;-
116;true ayahku dulu pas masih ada juga gituu tp sering dilarang sama mama karena mama mikirnya ayah capek kerja juga jadinya seringnya pas weekend entah bersihin halaman atau lainnya aku paling suka nasi goreng pagi buatan ayahku si pas hari libur;tidak_burnout;tidak_burnout;-
117;sebaik apapun yg telah aku lakukan kemaren yg diinget juga yg jeleknya mulu sekalikali pengen egois aku juga butuh ruang privasi untuk diriku sendiri setelah seharian capek kerja emang dipandang sebelah mata banget aku tuh di keluarga ini terutama di mata ortu sendiri;burnout;RPA;-
118;aku mau bantuin yg bnr pengen lepas dr pinjol yg capek kerja tp gaji abis buat bayar pinjol dan masih ga nutup harus gali lobang lg sampe ga sadar utang makin membengkak dan bingung gimana harus bayarnya capek gak sini dm aku bantuin;tidak_burnout;tidak_burnout;-
119;yg bikin capek kerja di sini tu pertama gajinya woii gaji gue tu agak ga masuk akal yang kalo dipikir ngapain tahun sekolah tapi gajinya bikin nangis hahah terus juga gw pp jauh sebenernya kalo gajinya banyak mah jauh deket juga bakal happyhappy aja;burnout;CY;-
120;biasalah cowo gitu giliran disuruh bantuin bilangnya aku udah capek kerja kamu jadi istri bukannya mijetin suami malah nambah kerjaan nah giliran istri kerja itukan kerjaan istri aku udah cape kerja pas dijawab aku juga kerja mas eh gak terima nyuruh resign aja wkwk;tidak_burnout;tidak_burnout;-
121;it is right aku juga sebenernya paintingnya sesekali aja kalau gak capek kerja by the way boleh gak aku follow kamu i think we have a lot of interesting topic to talk of so maybe we can start to be a long term friends;tidak_burnout;tidak_burnout;-
122;kalo capek kerja terus duitnya abis pengen bgt nikah biar santai kaya dipantai nunggu tf an suami eh keinget keluh kesah orang yang sudah bersuami kalo ga seindah yang dibayangkan pengen rabi tp wedi udh ganti cita cita guys mau nikah umur saja;burnout;EE;-
123;sebenernya ya pernikahan tuh pada intinya saling membantu gak ada tugas a tuh tugas istri semuanya tuh tugas bersama termasuk urusan rumah maupun urusan anak suami capek kerja di luar memang betul tapi pekerjaan di rumah juga tidak kalah capeknya saling bantu tuh nomor satu;tidak_burnout;tidak_burnout;-
124;mamaaaa aku capek kerja di kejar gini mama tau ga anak lanangmu ini skrng naik motor kehujanan mama adek selalu doa biar mama di sana terang teruss tapi mah ga ada mama berattt banget mah pengen nyusul rasanya ga ada jg disini seneng dengan adanya adek;burnout;EE;-
125;kadang gwe ga keenak kalau ngekuh di ig nd acc soalnya tiap ngeluh soal kerjaan selaly di replay temen dengan kata mendingan capek kerja dari pada capek cari kerja sama kerja itu capek karena ada uang daripada bla bla bla kek yaudah maaf karena aku ngeluh;burnout;EE;-
126;dari konten yang likenya ga sampe k gak menyangka bakal di follow sama penulis yang keren banget aduh tudu kunaon aing teh ini seneng banget seneng bgt padahal lagi posisi capek kerja lelah tekanan tekanan sana sini ini tuhan ngasih semangat ke aku ya lwat jalur bgni;burnout;EE;-
127;aku gamau sih ya aku capek kerja euy pengen juga dinafkahi kecuali dia anak tunggal kaya raya harta dimanamana ga kerja karena punya usaha banyak udah sedia rumah pribadi hak milik namanya dan dia ga kerja karena emang tiap bulan ada pemasukan dari usahanya aku sih yes;burnout;CY;-
128;siap bangun rumah tangga harus siap capek ya suami istri sama bisa kerja jadi sama bisa urus rumah tangga dan anak juga ga bisa curang dan berat sebelah kalau memang istri capek urus anak dan rumah tangga ya minta bantuan suami suami capek kerja ya minta pijitin istri;tidak_burnout;tidak_burnout;-
129;der mending tinggalin deh aku jua kepikiran mau kuliah di usia segitu btw usia ku sekarang dan insyaallah tahun depan mau nikah kata cowok ku silahkan mau kuliah mau tunda kehamilan juga gpp kalaupun km gak kuliah dan masih mau kerja juga gpp tapi kalau km udh capek kerja;tidak_burnout;tidak_burnout;-
130;capek kerja bisa izin ke wc nangis atau bisa resign ye jadi full time irt kalo capek kaga bs resign bajilak bukan nya ga iklas ngelakuinnya tp ni kita manusia sama bs jenuh dong tp irt ni kalo jenuh atau capek ga bs rehat jgn ngadi dah ngeremehin irt mah asu benerrr;burnout;EE;-
131;sama bgt dulu pas udah kerja bisa beli kfc bucket yg gede buat ponakan rasanya sebahagia itu inget e resi happy ponakan tiap kali bawain dia halhal yg dia suka tuh priceless bgt masih jadi salah penyemangat disaat capek kerja wkwkwk;tidak_burnout;tidak_burnout;-
132;udah berkali kali ngeluh capek kerja udah berkali kali pengen resign udah berkali kali nangis tiap malam dan berkali kali juga badan ngerasa udah gak sanggup lagi;burnout;EE;-
133;otomatis dua tahun masa muda gue ilang laaah orang haha hihi gue huhu huhu;burnout;RPA;-
134;besok udah senin lagi;burnout;CY;-
135;bentar deh agak bingung kerja di penerbit tapi beli buku lain yg bajakan gimana konsepnya;tidak_burnout;tidak_burnout;-
136;dan semua elemen yg capek kerja kok bisaa beli bajakan;tidak_burnout;tidak_burnout;-
137;capek kerja tapi tau lebih capek kalo ga ada kerjaan;tidak_burnout;tidak_burnout;-
138;yoshi nikah yuk capek kerja gue mau nikah sama kamu ajaaa;burnout;EE;sarkasme-EE
139;yadong capek kerja terus;burnout;EE;-
140;wkwkw selamat anda mencapai fase capek kerja;burnout;EE;sarkasme-EE
141;capek kerja ajhh hhe;burnout;EE;-
142;sedih capek kerja banget today;burnout;EE;-
143;owh pengen cepet kerja terus abis kerja sambat neh;burnout;CY;-
144;akhirnya damai lewat jalur rt pak rt ternyata udah tau sifat dia kek gt dan ternyata dia punya dendam pribadi ke pemilik kos gw gw sama temen gw keseret masalah dia_ kalo inget itu sebel bgt sih udah capek kerja pen istirahat ada bae makhluk begitu;burnout;EE;-
145;capek kerja gak diapresiasi;burnout;RPA;-
146;orang capek weekend kita masih capek kerja asik hidup ini kan;burnout;CY;sarkasme-CY
147;capek kerja pengennya pulang dirumah nemenin ibu tapi kok rasanya gimana gitu udh pernah coba kembali dan diam dirumah tapi ga betah;burnout;EE;-
148;oh gini ternyata hidup berumah tangga seketika merasa gaji dikit bgt;burnout;RPA;-
149;sekolah capek kerja aja nih capek dapet duit bonusnya ayang kalau ada yg minat;tidak_burnout;tidak_burnout;-
150;yok semangat yok yg penting skrg udh beres insyaallah g mumet lg tinggal eksekusi nya aja bismillah lancar dg ridho pertolongan allah amin rejeki udh diatur jauh lebih baik mumet dan capek kerja tp ada hasilnya drpd g dapet apa mangattt;tidak_burnout;tidak_burnout;-
151;kalau kaya gini tuh kerasa banget stress gue membawa berkah ke emak cuman tetep aja capek kerja akutu;burnout;EE;-
152;sebelum lulus udah kerja udah lulus malah capek kerja;burnout;EE;sarkasme-EE
153;ada orang udah capek kerja seharian malem masih keliatan seger begini walaupun matanya tidak bisa dibohongi;burnout;EE;-
154;udah tingkat paling jenuh kerja di kantor skrng;burnout;CY;-
155;dulu pas masih kerja tu rasanya nggak capek kerja tp capek lewatin jalan ini;tidak_burnout;tidak_burnout;-
156;sumpah gue capek kerja ada ga sih rich mommy yang mau pelihara gue aja;burnout;CY;sarkasme-CY
157;aku capek kerja terus saatnya aku jadi pohon pisang;burnout;CY;sarkasme-CY
158;ketika capek kerja langsung play lagu pereda stres entah itu campur sariwestern anngaji dzikir dan tentunya naikin rasa ikhlas;tidak_burnout;tidak_burnout;-
159;mama aku mau pulang aku capek kerja;burnout;EE;-
160;ketika capek kerja kadang gw langsung mikir inget perjuangan dlu lamar kerjabapak udh pensiunbeberapa orang lain beban kerjanya ada yg lebih berat dsb;tidak_burnout;tidak_burnout;-
161;aku capek kerja kamu gini yaaa oke;burnout;EE;sarkasme-EE
162;tanyarl apalagi pas pulang kerja udah capek kerja makin tertekan di dalem taxi jadi nyesel ajak ngobrol ga sih;burnout;EE;-
163;capek kerja tapi gpp deh demi jaemin haha;tidak_burnout;tidak_burnout;-
164;ya risiko suami juga capek kerja nafkahin pasangannya kan dia setuju buat nikahin anak orang kalau gak mau gaji habis dikasih orang lain gak usah nikah;tidak_burnout;tidak_burnout;-
165;ini tidurin anak bos biar cepat kaya;tidak_burnout;tidak_burnout;-
166;saya into loveydovey banget sender ga bisa lovehate soalnya suka ngebucinin orang yang saya sayang sebagai woa person saya suka nulis panjang kayak gini terus juga qt pas malem sambil deep talk itu sangat ngerecharge energi saya sender setelah seharian capek kerja;tidak_burnout;tidak_burnout;-
167;gapapa deh capek kerja daripada capek nggak ngapangapain capeknya sampe ke mental tapi gaada duitnya;tidak_burnout;tidak_burnout;-
168;org kesel jg byk faktor nya wajar klo udh capek kerja tp dgr statement nyepelein gampang bgt buat kesulut;burnout;EE;-
169;capek kerja tp gakerja lbh capek;tidak_burnout;tidak_burnout;-
170;capek kerjapengen punya lebih banyak waktu buat sendiri sm healing;burnout;EE;-
171;joktug capek kerja tugas gapapa pusing ga paham materi gapapa bisa langsung ke algoritma pseudocode;tidak_burnout;tidak_burnout;-
172;gaji dikit atau banyak kalo pinter ngatur pasti bisa tanggungjawab sm keluarga;tidak_burnout;tidak_burnout;-
173;aptu gaji dikit amat k mending jualan pentil bakso;burnout;RPA;sarkasme-RPA
174;kasihan gitu kek dikit sama saya ini kan juga tiduran karena capek kerja buat beli makan kalian malah diseret ke taman;burnout;EE;-
175;gatau harus gimana capek kerja kek gini;burnout;EE;-
176;berbakti krn suami sudah capek kerja;tidak_burnout;tidak_burnout;-
177;kl capek kerja ngeluh aja plis gapapa;tidak_burnout;tidak_burnout;-
178;kalian yang udah kerja pada ngeluh capek kerja inget cari kerja lebih capekk;tidak_burnout;tidak_burnout;-
179;aku mau cerita pacarku udah bulan kerja tapi minggu terakhir ini dia beda bgt sama dia yang dulu pdhl dia yang dulu juga kerja skrg udah slowres bgt alasannya capek kerja dan dia beralih ke game kalo udah capek sedangkan aku ngerasa sepi aku speak up ke cont;burnout;EE;-
180;capek kerja teh ga sia sia;tidak_burnout;tidak_burnout;-
181;bahagia bgt liat saldo atm seketika capek kerja hilang hahahaha;tidak_burnout;tidak_burnout;-
182;duit abis banyak dah kena musibah msh aja dipalakin;tidak_burnout;tidak_burnout;-
183;tiap org sih punya pilihan dan kesempatan masing sihkalo aku lebih baik capek kerja dpet gajidaripada capek nyari kerja;tidak_burnout;tidak_burnout;-
184;kirain selama ini aku capek kerja cari duit ternyata hidupku capek ganti wallpaper sehari bisa x;burnout;EE;sarkasme-EE
185;capekcapek kerja bulan habisnya jam puncak komedi;burnout;RPA;-
186;maklumin bang mungkin capek kerja di rs;burnout;EE;-
187;capek kerja tapi mau tetep di gaji;burnout;CY;sarkasme-CY
188;muka capek kerja seharian;burnout;EE;-
189;aku lagi ini tutorial mewaraskan diri hari kedepan kata adikku soalnya tiap ngomong kayak orang capek kerja kamu boleh rindu akunya aja nggak sie;tidak_burnout;tidak_burnout;-
190;gpapa si kalo gua mending capek kerja daripada capek nyari kerja;tidak_burnout;tidak_burnout;-
191;siapa yg hari ini ad waktu kosong mayu;tidak_burnout;tidak_burnout;-
192;kalau ukurannya capek kerja agak agak anu ya emgnya yg kalau kerja capek cuma org indo;tidak_burnout;tidak_burnout;-
193;masih untung punya kerja nder liat tu banyak org yg nangis krna ga punya kerjaan setidaknya bersyukur dikit ada yg blng lebih baik capek kerja daripada cape nyari kerja kan tapi klo lu ngerasa kurang ya sok atuh cari kerjaan lain dan resign;tidak_burnout;tidak_burnout;-
194;emang bener ya kata temen gue mending capek kerja daripada capek nyari kerja;tidak_burnout;tidak_burnout;-
195;bener banget kalo capek kerja sih masih enak dapet bayaran gaji lah kalo capek nyari kerja ga dapet bayaran gaji dari siapa yg ada dapet capek fisik batin dan mental;tidak_burnout;tidak_burnout;-
196;buka usaha aja kali yah capek kerja di org;burnout;CY;-
